final_dept_e,Region_e,FOL_e,question_name,question_value,total_respondants,total_w_resp,shr_w_resp,sorter
Atlantic Canada Opportunities Agency,Atlantic,All official languages,MAN_45BG_e,No,21,43.643,1,19
Atlantic Canada Opportunities Agency,Atlantic,All official languages,MAN_45BH_e,No,21,43.643,1,19
Atlantic Canada Opportunities Agency,Atlantic,All official languages,MAN_50F_e,Yes,42,82.2767,1,18
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_35A_e,No,28,56.6917,1,19
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_40BD_e,No,19,39.1264,1,19
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_45BF_e,No,16,33.7507,1,19
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_45BG_e,No,16,33.7507,1,19
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_45BH_e,No,16,33.7507,1,19
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_50F_e,Yes,26,52.5865,1,18
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_50J_e,No,17,34.921,1,19
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_25C_e,No,17,31.7428,1,19
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_50F_e,Yes,16,29.6902,1,18
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_50H_e,Yes,15,28.0727,1,18
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_55C_e,None,10,19.2991,1,20
Atlantic Canada Opportunities Agency,National Capital Region,All official languages,ALL_20A_e,To a great extent,15,25.8911,1,12
Atlantic Canada Opportunities Agency,National Capital Region,All official languages,ALL_20B_e,To a great extent,15,25.8911,1,12
Atlantic Canada Opportunities Agency,National Capital Region,All official languages,ALL_25_e,No,15,25.8911,1,19
Atlantic Canada Opportunities Agency,National Capital Region,English,ALL_20A_e,To a great extent,12,19.8625,1,12
Atlantic Canada Opportunities Agency,National Capital Region,English,ALL_20B_e,To a great extent,12,19.8625,1,12
Atlantic Canada Opportunities Agency,National Capital Region,English,ALL_25_e,No,12,19.8625,1,19
Canada Border Services Agency,All regions,All official languages,MAN_35BB_e,No,32,77.8241,1,19
Canada Border Services Agency,All regions,All official languages,MAN_35BG_e,No,32,77.8241,1,19
Canada Border Services Agency,All regions,All official languages,MAN_45BG_e,No,133,311.682,1,19
Canada Border Services Agency,All regions,English,MAN_35BB_e,No,22,54.0275,1,19
Canada Border Services Agency,All regions,English,MAN_35BD_e,No,22,54.0275,1,19
Canada Border Services Agency,All regions,English,MAN_35BG_e,No,22,54.0275,1,19
Canada Border Services Agency,All regions,English,MAN_45BG_e,No,76,181.1049,1,19
Canada Border Services Agency,All regions,French,MAN_35BA_e,No,10,23.7966,1,19
Canada Border Services Agency,All regions,French,MAN_35BB_e,No,10,23.7966,1,19
Canada Border Services Agency,All regions,French,MAN_35BG_e,No,10,23.7966,1,19
Canada Border Services Agency,All regions,French,MAN_45BG_e,No,55,125.5842,1,19
Canada Border Services Agency,All regions,French,MAN_70B_e,No,17,38.7008,1,19
Canada Border Services Agency,All regions,French,MAN_70C_e,No,17,38.7008,1,19
Canada Border Services Agency,All regions,Not stated,ALL_25_e,No,21,49.4696,1,19
Canada Border Services Agency,Atlantic,All official languages,MAN_10B_e,Yes,19,46.0958,1,18
Canada Border Services Agency,Atlantic,All official languages,MAN_50H_e,Yes,13,30.9186,1,18
Canada Border Services Agency,Atlantic,All official languages,MAN_55C_e,None,10,23.4093,1,20
Canada Border Services Agency,Atlantic,English,MAN_10B_e,Yes,16,38.6921,1,18
Canada Border Services Agency,Atlantic,English,MAN_50H_e,Yes,11,26.3526,1,18
Canada Border Services Agency,"British Columbia, Yukon",All official languages,MAN_40BD_e,No,24,57.3467,1,19
Canada Border Services Agency,"British Columbia, Yukon",All official languages,MAN_55C_e,None,22,52.4864,1,20
Canada Border Services Agency,"British Columbia, Yukon",English,MAN_40BD_e,No,23,54.8788,1,19
Canada Border Services Agency,"British Columbia, Yukon",English,MAN_55C_e,None,22,52.4864,1,20
Canada Border Services Agency,National Capital Region,All official languages,MAN_35BA_e,No,13,32.0472,1,19
Canada Border Services Agency,National Capital Region,All official languages,MAN_35BB_e,No,13,32.0472,1,19
Canada Border Services Agency,National Capital Region,All official languages,MAN_35BG_e,No,13,32.0472,1,19
Canada Border Services Agency,National Capital Region,All official languages,MAN_45BG_e,No,78,178.1309,1,19
Canada Border Services Agency,National Capital Region,English,MAN_10B_e,Yes,47,114.934,1,18
Canada Border Services Agency,National Capital Region,English,MAN_45BG_e,No,43,100.5355,1,19
Canada Border Services Agency,National Capital Region,French,MAN_45BG_e,No,33,72.6025,1,19
Canada Border Services Agency,National Capital Region,French,MAN_45BH_e,No,33,72.6025,1,19
Canada Border Services Agency,National Capital Region,French,MAN_70B_e,No,12,26.7311,1,19
Canada Border Services Agency,National Capital Region,French,MAN_70C_e,No,12,26.7311,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),All official languages,MAN_40BD_e,No,21,51.8567,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),All official languages,MAN_40BG_e,No,21,51.8567,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),All official languages,MAN_45BD_e,No,11,26.9336,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),All official languages,MAN_45BG_e,No,11,26.9336,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),All official languages,MAN_45BI_e,No,11,26.9336,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),English,MAN_40BD_e,No,21,51.8567,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),English,MAN_40BG_e,No,21,51.8567,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),English,MAN_45BD_e,No,11,26.9336,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),English,MAN_45BG_e,No,11,26.9336,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),English,MAN_45BI_e,No,11,26.9336,1,19
Canada Border Services Agency,Ontario (excluding the National Capital Region),French,MAN_15_e,No,13,31.7129,1,19
Canada Border Services Agency,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_10B_e,Yes,23,56.2904,1,18
Canada Border Services Agency,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_55C_e,None,14,34.1261,1,20
Canada Border Services Agency,"Prairies, Nunavut, Northwest Territories",English,MAN_10B_e,Yes,22,53.7169,1,18
Canada Border Services Agency,"Prairies, Nunavut, Northwest Territories",English,MAN_55C_e,None,13,31.6582,1,20
Canada Border Services Agency,Quebec (excluding the National Capital Region),All official languages,MAN_40BD_e,No,12,27.8619,1,19
Canada Border Services Agency,Quebec (excluding the National Capital Region),All official languages,MAN_45BD_e,No,26,62.1137,1,19
